충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,교통량,생산가능인,음식점
청라중앙호수공원 2주차장,10253.31000,213,인천광역시 서구 경서동 638-5,126.63640,37.52815,서구,2,25,2,29,2195,207,36,25,58947.00000,4257.00000,217861.00000,2780
하나로마트 인천점,6853.27000,208,인천광역시 계양구 아나지로 341,126.73058,37.52606,계양구,5,64,8,13,3457,307,113,68,685432.00000,3999.00000,555214.00000,5824
한국환경공단(기후대기관),8303.00000,179,인천광역시 서구 환경로 42 기후대기관,126.63853,37.56914,서구,2,27,2,28,1978,192,35,19,69067.00000,3796.00000,189100.00000,2135
현대시장 공영주차장,1234.69000,52,인천광역시 동구 송림동 49-172,126.64725,37.47702,동구,9,31,5,37,4916,291,94,96,163964.00000,4595.00000,438418.00000,7578
홈플러스 가좌점,1813.40000,126,"인천광역시 서구 가정로151번길 11 , 지하주차장 1층 M0구역",126.67070,37.49761,서구,8,34,7,48,5020,337,116,95,172894.00000,4684.00000,556669.00000,6935
홈플러스 계산점,11688.85000,318,인천광역시 계양구 오조산공원로 14,126.73618,37.53947,계양구,5,69,6,9,2469,266,88,53,578305.00000,3747.00000,433371.00000,4249
홈플러스 구월점,5795.48000,298,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역",126.70195,37.45174,남동구,16,43,4,19,4835,301,121,106,248348.00000,6075.00000,687229.00000,9538
홈플러스 인천연수점,45747.62000,421,인천광역시 연수구 청능대로 210,126.68362,37.40599,연수구,11,23,11,15,3744,362,93,54,755874.00000,5856.00000,396135.00000,4587
홈플러스 인하점,4000.83000,231,"인천광역시 미추홀구 소성로 6 , 주차장 옥상",126.65085,37.44706,미추홀구,13,24,6,28,3923,271,108,107,304436.00000,5059.00000,505019.00000,8722
홈플러스 작전점,17648.21000,331,인천광역시 계양구 계양대로 27,126.72126,37.52617,계양구,5,70,8,20,3710,317,122,79,689938.00000,4582.00000,609316.00000,6354
