충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,교통량,생산가능인,음식점
롯데마트 검단점,28768.72000,499,인천광역시 서구 원당대로 581 (마전동),126.66457,37.59453,서구,0,13,1,19,1154,88,25,11,32694.00000,2486.00000,130713.00000,1193
롯데마트 부평역점,20124.35000,501,인천광역시 부평구 광장로 16 (부평동),126.72335,37.48957,부평구,3,35,3,15,2752,221,101,67,614480.00000,2795.00000,487975.00000,5138
롯데마트 연수점,16488.97000,335,"인천광역시 연수구 청능대로 87, 2층 206",126.67517,37.41512,연수구,11,11,3,10,2803,217,63,41,676452.00000,3686.00000,292656.00000,3433
롯데마트 영종도점,29106.06000,516,인천광역시 중구 흰바위로 51 지상주차장 4층,126.49121,37.49267,중구,0,2,2,1,217,50,11,5,3786.00000,788.00000,26124.00000,404
롯데마트 청라점,51481.52000,524,인천광역시 서구 청라 커낼로 252(경서동),126.63260,37.53466,서구,2,13,2,13,914,127,23,7,20974.00000,2527.00000,118071.00000,1158
마니산국민관광지,14954.29000,400,인천광역시 강화군 화도면 마니산로675번길 18,126.42380,37.63246,강화군,0,0,0,0,48,8,4,7,732.00000,835.00000,2046.00000,91
모탱이공원,11623.37000,222,인천광역시 계양구 동양동 607-1,126.75489,37.56187,계양구,4,40,2,1,601,105,29,18,42034.00000,1783.00000,130318.00000,1188
부원 공영주차장,36475.69000,589,인천광역시 부평구 부평동 341-193  주차장 입구 오른쪽,126.71936,37.49232,부평구,3,36,3,19,2950,215,100,67,626282.00000,2762.00000,478867.00000,5086
부평국민체육센터,13994.98000,295,"인천광역시 부평구 부평대로296번길 33 (갈산동, 부평구 다목적 실내체육관)",126.72347,37.51863,부평구,5,56,8,13,3255,292,107,66,675293.00000,2875.00000,517458.00000,5553
부평깡시장 공영주차장,4333.53000,131,인천광역시 부평구 부흥로 315,126.72685,37.49867,부평구,1,38,5,14,2620,204,89,58,632401.00000,2520.00000,438815.00000,4262
부평아트센터,12668.92000,334,"인천광역시 부평구 아트센터로 166 (십정동, 부평아트센터)",126.70516,37.48226,부평구,4,28,3,24,4062,236,97,74,171256.00000,3117.00000,575496.00000,6894
삼산농산물도매시장,6254.46000,257,"인천광역시 부평구 영성동로 46 (삼산동, 삼산농산물도매시장)",126.74900,37.52182,부평구,5,54,5,7,2078,248,75,46,559759.00000,2105.00000,369531.00000,3677
서곶근린공원 제1주차장,4226.91000,137,인천광역시 서구 연희동 산150-5,126.68152,37.54711,서구,2,20,2,19,1273,145,44,21,66951.00000,3429.00000,209644.00000,2048
서림초교 뒤 공영주차장,18985.67000,408,인천광역시 동구 송림동 125-3,126.64820,37.47644,동구,7,22,4,26,3599,257,68,74,87192.00000,2909.00000,287647.00000,5087
서운체육공원 주차장,4720.24000,196,인천광역시 계양구 서운동 207,126.74750,37.53262,계양구,5,54,5,7,1703,177,69,37,536127.00000,2314.00000,311760.00000,3226
소래제1주차장,4506.32000,133,인천광역시 남동구 논현동 754-4,126.73644,37.39779,남동구,0,17,2,4,1430,97,25,10,66630.00000,1877.00000,104754.00000,1229
송도골프,22123.05000,432,인천광역시 연수구 능허대로 236,126.65056,37.41487,연수구,3,0,6,9,1364,247,49,28,651998.00000,3620.00000,243283.00000,3023
송도컨벤시아,25121.35000,496,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",126.64555,37.38814,연수구,2,0,5,4,875,254,34,14,328650.00000,3626.00000,143483.00000,1499
송림체육관,30617.47000,595,인천광역시 동구 염전로 30,126.64758,37.48439,동구,7,23,3,29,3266,228,56,67,58440.00000,2771.00000,251515.00000,3978
신기남부종합시장 주차장,7561.01000,142,인천광역시 미추홀구 주안동 1311-17,126.67865,37.44622,미추홀구,12,21,7,17,3169,242,85,80,240488.00000,3801.00000,508332.00000,7551
신문리 공영주차장,7411.52000,164,인천광역시 강화군 강화읍 향나무길 20 (신문리),126.47916,37.74653,강화군,2,5,0,1,205,35,11,13,875.00000,895.00000,18734.00000,507
십리포해수욕장 주차장,1561.03000,68,인천광역시 옹진군 영흥면 영흥북로 382,126.48647,37.28147,옹진군,0,0,0,1,41,8,2,3,376.00000,6.00000,2412.00000,150
아트센터인천,11356.43000,212,인천광역시 연수구 아트센터대로 222,126.62701,37.39378,연수구,0,0,5,3,503,217,23,7,109713.00000,2787.00000,105435.00000,1166
연세대학교 국제캠퍼스,53172.87000,656,인천광역시 연수구 송도동 162-1  포스코 그린빌딩 앞 주차장,126.66727,37.38151,연수구,2,2,6,5,1591,291,36,18,428308.00000,3312.00000,148915.00000,1240
연수구청,8931.53000,208,인천광역시 연수구 원인재로 115,126.67834,37.40949,연수구,11,11,3,10,3003,217,53,38,637437.00000,3801.00000,254627.00000,3112
열우물경기장,6591.65000,158,인천광역시 부평구 십정동 109-2,126.69283,37.47882,부평구,6,25,5,26,4027,231,90,76,164863.00000,3133.00000,522266.00000,6557
영종대교 휴게소 주차장,30137.35000,578,인천광역시 서구 경서동 산 257-4  지상 버스주차장 옆,126.60708,37.55390,서구,0,7,0,1,354,31,4,0,4808.00000,1197.00000,22918.00000,61
영흥수산물직판장 주차장,11727.52000,408,인천광역시 옹진군 영흥면 내리 8-165  공중화장실 옆,126.49793,37.25545,옹진군,0,0,0,1,53,6,3,5,65.00000,7.00000,3062.00000,182
온수리 공영 주차장,9405.42000,190,인천광역시 강화군 길상면 온수리 546-34,126.49212,37.63915,강화군,0,0,0,0,94,23,3,4,242.00000,1425.00000,3877.00000,161
온수리 제1공영주차장,1698.31000,75,인천광역시 강화군 길상면 마니산로 20,126.48966,37.64210,강화군,0,0,0,0,93,24,3,4,242.00000,1435.00000,4091.00000,140
용유동사무소,21183.14000,513,인천광역시 중구 마시란로 308-13,126.40243,37.44390,중구,0,0,0,2,57,6,2,4,356.00000,241.00000,1964.00000,204
월미공원 제2주차장,2859.22000,100,인천광역시 중구 월미로 329,126.60027,37.47015,중구,0,8,1,7,836,50,21,28,16960.00000,1212.00000,64358.00000,1697
