충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,음식점,주차면,교통량,생산가능인
청라중앙호수공원 2주차장,10253.31000,213,인천광역시 서구 경서동 638-5,126.63640,37.52815,서구,0,8,2,12,549,91,15,6,993,14705.00000,1340.00000,81099.00000
하나로마트 인천점,6853.27000,208,인천광역시 계양구 아나지로 341,126.73058,37.52606,계양구,5,41,6,5,1797,234,60,39,3365,517859.00000,1808.00000,314026.00000
한국환경공단(기후대기관),8303.00000,179,인천광역시 서구 환경로 42 기후대기관,126.63853,37.56914,서구,0,4,0,0,491,28,1,0,107,2466.00000,1054.00000,7697.00000
현대시장 공영주차장,1234.69000,52,인천광역시 동구 송림동 49-172,126.64725,37.47702,동구,6,11,2,14,1782,185,44,48,2616,30083.00000,1565.00000,153893.00000
홈플러스 가좌점,1813.40000,126,"인천광역시 서구 가정로151번길 11 , 지하주차장 1층 M0구역",126.67070,37.49761,서구,1,13,1,21,2007,112,26,18,1754,18932.00000,1710.00000,127404.00000
홈플러스 계산점,11688.85000,318,인천광역시 계양구 오조산공원로 14,126.73618,37.53947,계양구,4,35,4,4,1258,127,53,25,2357,85214.00000,1810.00000,234585.00000
홈플러스 구월점,5795.48000,298,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역",126.70195,37.45174,남동구,9,13,4,5,2095,133,43,49,5446,41418.00000,2201.00000,333608.00000
홈플러스 인천연수점,45747.62000,421,인천광역시 연수구 청능대로 210,126.68362,37.40599,연수구,2,6,3,3,2162,100,29,21,1591,473306.00000,1815.00000,127730.00000
홈플러스 인하점,4000.83000,231,"인천광역시 미추홀구 소성로 6 , 주차장 옥상",126.65085,37.44706,미추홀구,6,8,2,11,1191,109,42,40,2959,148430.00000,1806.00000,223716.00000
홈플러스 작전점,17648.21000,331,인천광역시 계양구 계양대로 27,126.72126,37.52617,계양구,2,34,6,6,1865,233,61,44,3395,129858.00000,1754.00000,328112.00000
