충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,음식점,교통량,생산가능인
계양구청,37413.06000,482,인천광역시 계양구 계산새로 88,126.73776,37.53744,계양구,4,24,3,2,717,106,26,19,54933.00000,1676,850.00000,152398.00000
남동복지관,6835.96000,136,인천광역시 남동구 소래로 645,126.73307,37.44761,남동구,2,7,0,1,419,44,14,13,18583.00000,1046,847.00000,92143.00000
남인천지사,54738.75000,604,인천광역시 연수구 비류대로 304,126.66832,37.42504,연수구,0,0,2,3,315,41,10,6,63927.00000,904,797.00000,69902.00000
늘솔길공원 3주차장,9586.64000,214,인천광역시 남동구 논현동 762-3,126.71980,37.38774,남동구,0,5,0,4,482,29,9,4,5235.00000,202,542.00000,30720.00000
덕산국민여가캠핑장,5476.50000,202,인천광역시 강화군 내가면 고천리 산494,126.38051,37.71759,강화군,0,0,0,1,11,1,2,4,,13,135.00000,472.00000
도원역 부근 공영주차장,41758.46000,637,인천광역시 중구 도원동 5-7  주차장 입구,126.64153,37.46704,중구,3,3,2,8,601,67,30,32,16655.00000,1626,524.00000,99596.00000
동구청앞 공영주차장,5429.37000,175,인천광역시 동구 금곡동 금곡로 68,126.64306,37.47292,동구,4,6,2,8,600,62,30,30,8905.00000,1416,510.00000,84866.00000
롯데마트 검단점,28768.72000,499,인천광역시 서구 원당대로 581 (마전동),126.66457,37.59453,서구,0,5,1,8,411,38,11,4,7289.00000,683,658.00000,63810.00000
롯데마트 부평역점,20124.35000,501,인천광역시 부평구 광장로 16 (부평동),126.72335,37.48957,부평구,0,6,1,6,1050,36,17,20,62436.00000,1734,570.00000,157244.00000
롯데마트 연수점,16488.97000,335,"인천광역시 연수구 청능대로 87, 2층 206",126.67517,37.41512,연수구,0,0,3,3,389,72,22,15,401825.00000,1227,714.00000,99573.00000
롯데마트 영종도점,29106.06000,516,인천광역시 중구 흰바위로 51 지상주차장 4층,126.49121,37.49267,중구,0,1,2,1,131,30,6,3,3451.00000,324,155.00000,16686.00000
롯데마트 청라점,51481.52000,524,인천광역시 서구 청라 커낼로 252(경서동),126.63260,37.53466,서구,0,5,2,6,144,64,8,2,2887.00000,372,519.00000,54348.00000
