gid,충전량_kWh,충전일수,충전소,건물수,생산가능인구,도서관,변압기,전기차,주차면수,학교,민행기_SN,음식점,경기장,대형마트,교통량,공원,Score
다사30ab39ba,0.0,0.0,0.0,0.038461538461538464,0.6502636203866432,0.0,0.0273972602739726,0.0625,0.0005310688628187748,0.0,0.25,0.056962025316455694,0.0,0.0,0.8888888888888888,0.0,0.49304534233200525
다사23ab39ab,0.0,0.0,0.0,0.19230769230769232,0.2799648506151142,0.0,0.08904109589041095,0.0,0.011784925116621655,0.0,0.0,0.5822784810126582,0.0,0.0,0.8888888888888888,0.0,0.4897870094915756
다사32ba48bb,0.5862661349072792,0.7347560975609756,0.5,0.038461538461538464,0.00492091388400703,0.0,0.0821917808219178,0.15625,0.00023484452225151848,0.0,0.75,0.25316455696202533,0.0,0.0,0.7777777777777778,0.0,0.4897126008394328
다사23ba39ba,0.0,0.0,0.0,0.038461538461538464,0.21142355008787347,0.0,0.04794520547945205,0.03125,0.00013877176314862455,0.0,0.0,0.6139240506329114,0.0,0.0,0.8888888888888888,0.0,0.48730062564393856
다사32ba48aa,0.0,0.0,0.0,0.038461538461538464,0.44956063268892793,0.0,0.03424657534246575,0.0,0.0020335400676779213,0.0,0.0,0.0949367088607595,0.0,0.5,0.6666666666666666,0.5,0.4845422801440507
다사30ba39bb,0.0,0.0,0.0,0.07692307692307693,0.28875219683655534,0.0,0.0547945205479452,0.03125,0.0003389233446129869,0.6666666666666666,0.25,0.0379746835443038,0.0,0.0,0.7777777777777778,0.0,0.4797788070512331
다사32ab45ba,0.0,0.0,0.0,0.2692307692307692,0.14042179261862917,0.0,0.14383561643835616,0.0,0.001393055006991962,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.47500264981725765
다사23ba39bb,0.0,0.0,0.0,0.038461538461538464,0.3077328646748682,0.0,0.08904109589041095,0.0,0.00013877176314862455,0.0,0.25,0.310126582278481,0.0,0.0,0.8888888888888888,0.0,0.4748716714219979
다사26aa32ba,0.0,0.0,0.0,0.0,0.17609841827768014,0.0,0.0136986301369863,0.1875,0.0,0.0,0.0,0.33544303797468356,0.0,0.0,0.8888888888888888,0.0,0.4738560148838553
다사26aa43bb,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.15753424657534246,0.75,0.00044833954248017164,0.0,0.0,0.02531645569620253,0.0,0.0,0.5555555555555556,0.0,0.47349495791451013
다사33aa37aa,0.0,0.0,0.0,0.0,0.31441124780316343,0.0,0.00684931506849315,0.1875,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,1.0,0.0,0.47283137940226
다사30ab38ba,0.0,0.0,0.0,0.0,0.37557117750439367,0.0,0.00684931506849315,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5,0.4694777661811604
다사26ba35bb,0.0,0.0,0.0,0.19230769230769232,0.12618629173989454,0.0,0.02054794520547945,0.0,0.012550838501691948,0.6666666666666666,0.5,0.03164556962025317,0.0,0.0,0.7777777777777778,0.0,0.46946464954411876
다사29ab38ba,0.0,0.0,0.0,0.4230769230769231,0.021616871704745168,0.0,0.1780821917808219,0.0625,0.00933506975949786,0.0,0.0,0.930379746835443,0.0,0.0,0.6666666666666666,0.0,0.46878187471995486
다사31ab40ba,0.0,0.0,0.0,0.15384615384615385,0.4952548330404218,0.0,0.03424657534246575,0.03125,0.002105594637005092,0.3333333333333333,0.25,0.06329113924050633,0.0,0.0,0.7777777777777778,0.0,0.4675937419128016
다사30aa39bb,0.0,0.0,0.0,0.0,0.4115992970123023,0.0,0.02054794520547945,0.0625,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.46446131610391517
다사24bb33aa,0.0,0.0,0.0,0.23076923076923078,0.129701230228471,0.0,0.04794520547945205,0.0,0.0031970879279240813,0.0,0.0,0.6139240506329114,0.0,0.0,0.8888888888888888,0.0,0.46394729882907176
다사27ba40ba,0.0,0.0,0.0,0.2692307692307692,0.08998242530755712,0.0,0.2808219178082192,0.0,0.0022924027797051635,0.0,0.0,0.8607594936708861,0.0,0.0,0.6666666666666666,0.0,0.4631648218049127
다사24ba30bb,0.0,0.0,0.0,0.0,0.0984182776801406,0.0,0.0136986301369863,0.5,0.0,0.0,0.0,0.0189873417721519,0.0,0.0,0.7777777777777778,0.0,0.46292404482360766
다사32aa45ba,0.0,0.0,0.0,0.07692307692307693,0.1750439367311072,0.0,0.0410958904109589,0.0625,0.0037681871070357285,0.0,0.0,0.1962025316455696,0.0,0.5,0.6666666666666666,0.0,0.4628500625977072
다사30ab39bb,0.0,0.0,0.0,0.0,0.6073813708260105,0.0,0.0136986301369863,0.125,0.0,0.0,0.25,0.04430379746835443,0.0,0.0,0.7777777777777778,0.0,0.4618331895966674
다사31ab49ba,0.0,0.0,0.0,0.11538461538461539,0.2680140597539543,0.0,0.1643835616438356,0.03125,0.0011528731092347272,0.3333333333333333,0.25,0.22151898734177214,0.0,0.0,0.6666666666666666,0.5,0.4596239702609306
다사30aa38bb,0.0,0.0,0.0,0.07692307692307693,0.30298769771529,0.0,0.02054794520547945,0.125,0.00032557990584869607,0.3333333333333333,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.4593862246859085
다사32bb45ab,0.0,0.0,0.0,0.38461538461538464,0.3087873462214411,0.0,0.03424657534246575,0.0625,0.019414703402043147,0.6666666666666666,0.0,0.06962025316455696,0.0,0.0,0.6666666666666666,1.0,0.45929423111519074
